recipeId,labelId,assignedAt,assignedByUserId
11,7,2022-11-20 16:54:32.286,1
11,9,2022-11-20 16:54:32.286,1
11,2,2022-11-20 16:54:32.286,1
11,10,2022-11-20 16:54:32.286,1
11,1,2022-11-20 16:54:32.286,1
12,7,2022-11-20 16:54:59.385,1
12,9,2022-11-20 16:54:59.385,1
12,2,2022-11-20 16:54:59.385,1
12,1,2022-11-20 16:54:59.385,1
12,10,2022-11-20 16:54:59.385,1
13,2,2022-11-27 17:45:35.402,1
13,3,2022-11-27 17:45:35.402,1
13,1,2022-11-27 17:45:35.402,1
14,10,2022-11-27 17:49:43.866,1
14,3,2022-11-27 17:49:43.866,1
14,2,2022-11-27 17:49:43.866,1
14,1,2022-11-27 17:49:43.866,1
15,10,2022-11-27 17:55:06.555,1
15,3,2022-11-27 17:55:06.555,1
15,2,2022-11-27 17:55:06.555,1
15,1,2022-11-27 17:55:06.555,1
16,3,2022-11-27 17:59:38.937,1
16,1,2022-11-27 17:59:38.937,1
16,2,2022-11-27 17:59:38.937,1
17,3,2022-11-27 18:02:34.909,1
17,1,2022-11-27 18:02:34.909,1
18,3,2022-11-27 18:06:04.947,1
18,1,2022-11-27 18:06:04.947,1
19,3,2022-11-27 18:08:59.047,1
19,2,2022-11-27 18:08:59.047,1
19,1,2022-11-27 18:08:59.047,1
20,3,2022-11-27 18:13:41.562,1
20,2,2022-11-27 18:13:41.562,1
20,1,2022-11-27 18:13:41.562,1
4,8,2022-11-27 18:14:31.685,1
4,1,2022-11-27 18:14:31.685,1
4,2,2022-11-27 18:14:31.685,1
4,10,2022-11-27 18:14:31.685,1
8,1,2022-11-27 18:14:53.179,1
8,2,2022-11-27 18:14:53.179,1
8,8,2022-11-27 18:14:53.179,1
8,10,2022-11-27 18:14:53.179,1
8,3,2022-11-27 18:14:53.179,1
21,3,2022-12-13 10:20:20.27,1
21,1,2022-12-13 10:20:20.27,1
22,9,2022-12-13 10:26:09.572,1
22,7,2022-12-13 10:26:09.572,1
22,3,2022-12-13 10:26:09.572,1
22,2,2022-12-13 10:26:09.572,1
22,1,2022-12-13 10:26:09.572,1
23,10,2022-12-13 10:34:41.775,1
23,5,2022-12-13 10:34:41.775,1
23,2,2022-12-13 10:34:41.775,1
23,1,2022-12-13 10:34:41.775,1
24,10,2022-12-13 10:37:48.418,1
24,7,2022-12-13 10:37:48.418,1
24,5,2022-12-13 10:37:48.418,1
10,7,2022-11-20 16:53:50.344,1
10,9,2022-11-20 16:53:50.344,1
10,1,2022-11-20 16:53:50.344,1
24,2,2022-12-13 10:37:48.418,1
24,1,2022-12-13 10:37:48.418,1
25,12,2022-12-13 10:43:45.107,1
25,11,2022-12-13 10:43:45.107,1
25,4,2022-12-13 10:43:45.107,1
25,1,2022-12-13 10:43:45.107,1
26,9,2022-12-13 10:47:06.292,1
26,3,2022-12-13 10:47:06.292,1
26,1,2022-12-13 10:47:06.292,1
27,10,2022-12-13 10:50:42.033,1
27,9,2022-12-13 10:50:42.033,1
27,3,2022-12-13 10:50:42.033,1
27,2,2022-12-13 10:50:42.033,1
27,1,2022-12-13 10:50:42.033,1
28,3,2022-12-13 11:02:28.666,1
28,10,2022-12-13 11:02:28.666,1
28,8,2022-12-13 11:02:28.666,1
28,2,2022-12-13 11:02:28.666,1
28,1,2022-12-13 11:02:28.666,1
29,9,2022-12-13 11:05:58.956,1
29,10,2022-12-13 11:05:58.956,1
29,8,2022-12-13 11:05:58.956,1
29,3,2022-12-13 11:05:58.956,1
29,2,2022-12-13 11:05:58.956,1
29,1,2022-12-13 11:05:58.956,1
30,8,2022-12-13 11:10:49.458,1
30,10,2022-12-13 11:10:49.458,1
30,5,2022-12-13 11:10:49.458,1
30,2,2022-12-13 11:10:49.458,1
30,1,2022-12-13 11:10:49.458,1
31,3,2022-12-13 11:19:29.682,1
31,2,2022-12-13 11:19:29.682,1
31,1,2022-12-13 11:19:29.682,1
32,3,2022-12-13 11:23:35.823,1
