recipeId,labelId,assignedAt,assignedByUserId
11,7,2022-11-20 16:54:32.286,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
11,9,2022-11-20 16:54:32.286,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
11,2,2022-11-20 16:54:32.286,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
11,10,2022-11-20 16:54:32.286,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
11,1,2022-11-20 16:54:32.286,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
12,7,2022-11-20 16:54:59.385,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
12,9,2022-11-20 16:54:59.385,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
12,2,2022-11-20 16:54:59.385,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
12,1,2022-11-20 16:54:59.385,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
12,10,2022-11-20 16:54:59.385,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
13,2,2022-11-27 17:45:35.402,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
13,3,2022-11-27 17:45:35.402,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
13,1,2022-11-27 17:45:35.402,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
14,10,2022-11-27 17:49:43.866,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
14,3,2022-11-27 17:49:43.866,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
14,2,2022-11-27 17:49:43.866,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
14,1,2022-11-27 17:49:43.866,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
15,10,2022-11-27 17:55:06.555,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
15,3,2022-11-27 17:55:06.555,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
15,2,2022-11-27 17:55:06.555,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
15,1,2022-11-27 17:55:06.555,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
16,3,2022-11-27 17:59:38.937,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
16,1,2022-11-27 17:59:38.937,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
16,2,2022-11-27 17:59:38.937,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm
